index,model_name,vocab_size,max_seq_length,to_lower,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
33,text cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8120554,74.02214000000001,0.76144844,75.423825,0.8423521999999999,72.66671,0.7282981853849927,0.7282981853849927,0.7282981853849927,0.4064608505092391,0.3165439979562449,0.4064608505092391,0.6966131506518753,0.7282981853849927,0.7014728573674835
34,text cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8168984,73.90489,0.7609399,75.709486,0.8392408000000001,72.60045000000001,0.7273173124080432,0.7273173124080432,0.7273173124080432,0.3910596872278817,0.3172180741732791,0.3910596872278817,0.6904852921614452,0.7273173124080432,0.6996066791135469
35,text cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8064342,74.1121,0.761542,75.260687,0.8425063,73.046875,0.7314860225600784,0.7314860225600784,0.7314860225600784,0.4133751235691256,0.31912661000323794,0.4133751235691256,0.6983387596980771,0.7314860225600784,0.7042467544002071
36,text cnn,10000,128,True,True,50,glove,glove.6B.50d,0.80702955,74.12445,0.7604339,75.26582499999999,0.85172796,72.680664,0.7278077488965179,0.7278077488965179,0.7278077488965179,0.4192417489176398,0.34303978748223585,0.4192417489176398,0.6937481048925389,0.7278077488965179,0.7002823280468473
37,text cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8131979,73.96336,0.7552075,75.25672300000001,0.8727767,72.10519,0.7226581657675331,0.7226581657675331,0.7226581657675331,0.39939145442775004,0.3205978119176496,0.39939145442775004,0.6960341444290592,0.7226581657675331,0.6882065084802282
38,text cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8076638,74.12235,0.7591751,75.57389,0.8415236999999999,72.220284,0.7241294752329573,0.7241294752329573,0.7241294752329572,0.42521800419630623,0.3261739767526095,0.42521800419630623,0.6965020482661621,0.7241294752329573,0.7011527049331893
39,text cnn,10000,128,True,True,50,glove,glove.6B.50d,0.8101158,74.07944,0.7595571999999999,75.33443600000001,0.8617859,72.74692999999999,0.7287886218734674,0.7287886218734674,0.7287886218734673,0.4211731681617063,0.3257795430158158,0.4211731681617063,0.6975029903362349,0.7287886218734674,0.6987110489852655
40,dcnn,10000,128,False,True,50,glove,glove.6B.50d,0.8610832,72.66348,0.80223304,74.39856999999999,0.8679459,71.94126999999999,0.7206964198136341,0.7206964198136341,0.7206964198136341,0.4335010744194173,0.3463357825313356,0.4335010744194173,0.683111961915291,0.7206964198136341,0.6885868826969566
41,dcnn,10000,128,False,True,50,glove,glove.6B.50d,0.85780066,72.659355,0.80364746,74.040097,0.8599429,72.06334,0.721922511034821,0.721922511034821,0.721922511034821,0.4660705129589196,0.31626980964664986,0.4660705129589196,0.6903754623354241,0.721922511034821,0.6942234537604702
42,dcnn,10000,128,False,True,50,glove,glove.6B.50d,0.8643776,72.56344,0.8026446,74.00392,0.8640995000000001,71.57506,0.7170181461500735,0.7170181461500735,0.7170181461500735,0.3962742835460827,0.30625048085994283,0.3962742835460827,0.680378968318204,0.7170181461500735,0.6841614346129627
43,dcnn,10000,128,False,True,50,glove,glove.6B.50d,0.86133444,72.70307,0.8117565999999999,74.03496000000001,0.8742532,72.06334,0.721922511034821,0.721922511034821,0.721922511034821,0.42257346295908005,0.33765290586299296,0.42257346295908005,0.6862859196110966,0.721922511034821,0.6945755126423097
