index,model_name,vocab_size,max_seq_length,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
55,rcnn,5000,128,50,0.9839755950000001,72.7500224,0.929116406,74.3164838,0.963053943,71.60351669999999,0.7176023535180192,0.7176023535180192,0.7176023535180192,0.3610350387317181,0.2676199621114471,0.3610350387317181,0.6806034922655175,0.7176023535180192,0.6810566987071447,0.013281697677090393,0.3074841823596396,0.016618158328320806,0.4861944701227647,0.01595072877758818,0.38261196040695994,0.003950436672715368,0.003950436672715368,0.00395043667271534,0.025085482253161318,0.010894106779966018,0.025085482253161318,0.007268671661870023,0.003950436672715368,0.006423731295255311
56,rcnn,4500,128,50,0.9818622190000001,72.74526420000001,0.9297128469999999,74.100385,0.9638371749999999,71.51009289999999,0.7167197842608481,0.7167197842608481,0.7167197842608481,0.3586028492628885,0.27493243183743876,0.3586028492628885,0.676769987264809,0.7167197842608481,0.6792560268264609,0.008022134770675274,0.18932835590510885,0.0057263074769931645,0.34142146642041066,0.017048849216848287,0.7068721301512336,0.007043290542222111,0.007043290542222111,0.0070432905422221125,0.03618461121029732,0.01562779989078974,0.03618461121029732,0.005746223860640167,0.007043290542222111,0.008595948441215745
57,rcnn,5500,128,50,0.9902161099999999,72.7968857,0.9452885359999998,74.15814040000001,0.9585565559999999,71.66455319999999,0.7182152488354989,0.7182152488354989,0.7182152488354989,0.36048128093382015,0.27452018531191485,0.36048128093382015,0.6775170554655425,0.7182152488354989,0.6808530933621683,0.011596149009621958,0.09773575706186571,0.021687229597086393,0.3300621618436953,0.01694384322698576,1.0351573210003522,0.010391671787835786,0.010391671787835786,0.010391671787835796,0.029223359278204897,0.015051263402620084,0.029223359278204897,0.009044792373246973,0.010391671787835786,0.015217494762184695
58,rcnn,6000,128,50,0.9970234400000001,72.82658850000001,0.9533564330000001,74.16590479999999,0.9628499009999999,71.5131848,0.716695268448149,0.716695268448149,0.716695268448149,0.3626367879490829,0.2687126320746661,0.3626367879490829,0.6801090633466551,0.716695268448149,0.6799717352085537,0.03133916292313149,0.2142968116407452,0.04003343788056098,0.36709568438450957,0.016058187567088277,0.5803381956981408,0.0058361595808356535,0.0058361595808356535,0.005836159580835648,0.028196434782236067,0.006656732307146337,0.028196434782236067,0.006939729020305693,0.0058361595808356535,0.009010468964758545
59,rcnn,6500,128,50,0.9862740649999999,72.933138,0.9463528410000001,74.2867962,0.9554472519999999,71.5501322,0.7170384898259378,0.7170384898259378,0.7170384898259378,0.35304489012130585,0.264267870006055,0.35304489012130585,0.6800383362608746,0.7170384898259378,0.6799077676439189,0.022185535376470094,0.15042753973997558,0.04195841257188028,0.2679989921481069,0.01670257101684367,0.6759030442282931,0.006723672383993053,0.006723672383993053,0.006723672383993049,0.01887541737575808,0.012155699654760684,0.01887541737575808,0.008027230535780168,0.006723672383993053,0.00912497507502862
60,rcnn,7000,128,50,1.000667101,72.82210330000001,0.9619029899999999,74.2856608,0.955583034,71.7692077,0.7192939445942633,0.7192939445942633,0.7192939445942633,0.3685788114252154,0.27584301060699384,0.3685788114252154,0.6802680736605307,0.7192939445942633,0.6837000620374997,0.024174214879384485,0.18691908929210255,0.038499105985972386,0.29643015378998844,0.01667858128747379,0.7970981154971577,0.007986788737677912,0.007986788737677912,0.007986788737677943,0.022752323736034537,0.014237566006876458,0.022752323736034537,0.007141166857693918,0.007986788737677912,0.010778839723227062
61,rcnn,500,128,50,1.0327850899999997,71.6751366,1.001035603,72.985032,0.986833865,70.24772269999998,0.703848982593773,0.703848982593773,0.703848982593773,0.3415426112750372,0.2598027696085562,0.3415426112750372,0.6715044476117763,0.703848982593773,0.6640048049836399,0.03542477352087728,0.16410607890440515,0.05954323797514997,0.3397396482053115,0.014761422945972137,0.867422533876091,0.008776371804091767,0.008776371804091767,0.008776371804091753,0.027203418847015968,0.00780039994685965,0.027203418847015968,0.012309158061463866,0.008776371804091767,0.01353446778273724
62,rcnn,4000,128,50,0.9855893809999999,72.824974,0.9351615310000001,74.24818050000002,0.9707925699999997,71.4783551,0.7164010786957589,0.7164010786957589,0.7164010786957589,0.35345306592546566,0.2666880590785756,0.35345306592546566,0.6773793452397606,0.7164010786957589,0.6779406251935072,0.010028996358359464,0.11854380476993034,0.015007041870877686,0.2419618904838115,0.01641190691602091,0.77188941540388,0.007754992220872382,0.007754992220872382,0.007754992220872389,0.029564649531444998,0.014702548519850893,0.029564649531444998,0.005521419258052579,0.007754992220872382,0.010628599868677107
63,rcnn,8000,128,50,0.981784542,72.89046099999999,0.932707117,74.2125975,0.9614959039999998,71.50553520000001,0.7166462368227507,0.7166462368227507,0.7166462368227507,0.3605040747223142,0.26802637591566725,0.3605040747223142,0.6771458712399359,0.7166462368227507,0.6789632262363984,0.021216338276256578,0.2344483441542524,0.01903642121474868,0.30039559799897986,0.019471491678412646,0.5848560025808434,0.005898305045296712,0.005898305045296712,0.005898305045296673,0.04338195500557906,0.015276751958280215,0.04338195500557906,0.00884524293500151,0.005898305045296712,0.008602482326150369
64,lstm,8000,128,50,0.8441647299999999,74.9346666,0.8651662750000002,75.1662785,0.934329232,72.7434912,0.7288551115469477,0.7288551115469477,0.7288551115469477,0.3933976544575823,0.29906625994982544,0.3933976544575823,0.6950478117421747,0.7288551115469477,0.6948770103522315,0.009363169579008292,0.10431232190046429,0.011476658620382779,0.13474422465566432,0.010079371683848821,0.5501012320190204,0.005418185651467118,0.005418185651467118,0.005418185651467118,0.018140403179704598,0.010588230637609854,0.018140403179704598,0.005762528551797125,0.005418185651467118,0.0088088324954488
