experiment_name,model_name,vocab_size,max_seq_length,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
cnn_no_punct_2,cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.8126405,0.75061905,0.9304106,0.7360639,0.9607644,0.7024902,0.704584457,0.704584457,0.704584457,0.40486891,0.306047565,0.40486891,0.671661391,0.704584457,0.670568521
cnn_no_punct_3,cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.810183,0.7516715,0.9524332,0.73065877,0.94967633,0.71103513,0.713164991,0.713164991,0.713164991,0.528594753,0.368979195,0.528594753,0.689210502,0.713164991,0.681644383
cnn_no_punct_4,cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.8114958,0.7511381,0.9180873,0.74045616,0.95548064,0.70294595,0.705319931,0.705319931,0.705319931,0.475262004,0.342301587,0.475262004,0.68146128,0.705319931,0.679341456
cnn_no_punct_5,cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.81352293,0.7499421,0.91042155,0.7343571,0.9730547,0.70569664,0.707526354,0.707526354,0.707526354,0.394516584,0.322625889,0.394516584,0.672076544,0.707526354,0.680189734
cnn_no_punct_6,cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.80924726,0.7511968,0.93058836,0.7340615,0.9823982,0.7017904,0.703603824,0.703603824,0.703603824,0.407921801,0.321160515,0.407921801,0.670576488,0.703603824,0.667632863
cnn_no_punct_7,cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.81063086,0.75023985,0.9372149,0.73483163,0.98011106,0.7048991,0.707281196,0.707281196,0.707281196,0.479972394,0.333545172,0.479972394,0.676557498,0.707281196,0.673418062
cnn_no_punct_8,cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.8113766,0.7508467,0.9275039,0.73492503,0.960182,0.71106774,0.712919833,0.712919833,0.712919833,0.441377854,0.323034358,0.441377854,0.681350632,0.712919833,0.680687887
cnn_no_punct_9,cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.81015587,0.7503776,0.92920184,0.73558784,0.97381186,0.70792645,0.70948762,0.70948762,0.70948762,0.428772841,0.315878864,0.428772841,0.683849604,0.70948762,0.675285778
cnn_no_punct_10,cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.8133046,0.7509063,0.94761705,0.73442245,0.9545645,0.7017578,0.703848983,0.703848983,0.703848983,0.382948304,0.299189827,0.382948304,0.669133535,0.703848983,0.667250095
text_cnn_no_punct_1,text_cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.8188585,0.74009496,0.7854947,0.74672794,0.8926106,0.7176921,0.719293945,0.719293945,0.719293945,0.41034234,0.324210032,0.41034234,0.690406999,0.719293945,0.69334263
text_cnn_no_punct_2,text_cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.81797415,0.74054444,0.7895908,0.746283,0.9064158,0.7096029,0.711448885,0.711448885,0.711448885,0.435263004,0.309779683,0.435263004,0.685131587,0.711448885,0.679900092
text_cnn_no_punct_3,text_cnn,10000,128,FALSE,50,glove,glove.6B.50d,0.81954205,0.7407264,0.79711425,0.74671084,0.892196,0.72254235,0.724442265,0.724442265,0.724442265,0.425456385,0.328555006,0.425456385,0.692145819,0.724442265,0.698316779
