index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
469,rcnn,1100,1600,0.1793,0.8207,0.0,0.1793,0.8207,0.0
470,rcnn,1200,1300,0.00166,0.99834,0.0,0.00166,0.99834,0.0
471,rcnn,1200,1400,0.00346,0.99654,0.0,0.00346,0.99654,0.0
472,rcnn,1200,1500,0.00154,0.99846,0.0,0.00154,0.99846,0.0
473,rcnn,1200,1600,0.08142,0.91858,0.0,0.08142,0.91858,0.0
474,rcnn,1300,1400,0.0,0.99406,0.00594,0.0,0.99406,0.00594
475,rcnn,1300,1500,0.00064,0.99932,4e-05,0.00064,0.99932,4e-05
476,rcnn,1300,1600,0.00206,0.99794,0.0,0.00206,0.99794,0.0
477,rcnn,1400,1500,0.0005,0.9995,0.0,0.0005,0.9995,0.0
478,rcnn,1400,1600,0.00742,0.99258,0.0,0.00742,0.99258,0.0
479,rcnn,1500,1600,0.00076,0.99924,0.0,0.00076,0.99924,0.0
480,lstm,100,200,0.0,0.0,1.0,0.0,0.0,1.0
481,lstm,100,300,0.0,0.0,1.0,0.0,0.0,1.0
482,lstm,100,400,0.0,0.0,1.0,0.0,0.0,1.0
483,lstm,100,500,0.0,0.0,1.0,0.0,0.0,1.0
484,lstm,100,600,0.0,0.0,1.0,0.0,0.0,1.0
485,lstm,100,700,0.0,0.0,1.0,0.0,0.0,1.0
486,lstm,100,800,0.0,0.0,1.0,0.0,0.0,1.0
487,lstm,100,900,0.0,4e-05,0.99996,0.0,4e-05,0.99996
488,lstm,100,1000,0.0,0.0,1.0,0.0,0.0,1.0
489,lstm,100,1100,0.0,4e-05,0.99996,0.0,4e-05,0.99996
490,lstm,100,1200,0.0,0.0,1.0,0.0,0.0,1.0
491,lstm,100,1300,0.0,4e-05,0.99996,0.0,4e-05,0.99996
492,lstm,100,1400,0.0,2e-05,0.99998,0.0,2e-05,0.99998
493,lstm,100,1500,0.0,0.0,1.0,0.0,0.0,1.0
494,lstm,100,1600,0.0,0.0,1.0,0.0,0.0,1.0
495,lstm,200,300,0.03036,0.96742,0.00222,0.03036,0.96742,0.00222
496,lstm,200,400,0.0,0.90058,0.09942,0.0,0.90058,0.09942
497,lstm,200,500,0.00024,0.93168,0.06808,0.00024,0.93168,0.06808
498,lstm,200,600,2e-05,0.96102,0.03896,2e-05,0.96102,0.03896
499,lstm,200,700,0.0,0.5565,0.4435,0.0,0.5565,0.4435
500,lstm,200,800,0.0,0.26396,0.73604,0.0,0.26396,0.73604
501,lstm,200,900,8e-05,0.73672,0.2632,8e-05,0.73672,0.2632
502,lstm,200,1000,0.0,0.52014,0.47986,0.0,0.52014,0.47986
503,lstm,200,1100,0.0,0.98322,0.01678,0.0,0.98322,0.01678
504,lstm,200,1200,0.0,0.69956,0.30044,0.0,0.69956,0.30044
505,lstm,200,1300,0.00114,0.8884,0.11046,0.00114,0.8884,0.11046
506,lstm,200,1400,6e-05,0.96444,0.0355,6e-05,0.96444,0.0355
507,lstm,200,1500,0.0,0.60422,0.39578,0.0,0.60422,0.39578
508,lstm,200,1600,0.0,0.79474,0.20526,0.0,0.79474,0.20526
509,lstm,300,400,0.00026,0.44968,0.55006,0.00026,0.44968,0.55006
510,lstm,300,500,2e-05,0.94078,0.0592,2e-05,0.94078,0.0592
511,lstm,300,600,4e-05,0.91556,0.0844,4e-05,0.91556,0.0844
512,lstm,300,700,6e-05,0.2489,0.75104,6e-05,0.2489,0.75104
513,lstm,300,800,2e-05,0.17382,0.82616,2e-05,0.17382,0.82616
514,lstm,300,900,0.02534,0.2735,0.70116,0.02534,0.2735,0.70116
515,lstm,300,1000,0.0,0.3871,0.6129,0.0,0.3871,0.6129
516,lstm,300,1100,0.0003,0.86924,0.13046,0.0003,0.86924,0.13046
517,lstm,300,1200,0.0004,0.40032,0.59928,0.0004,0.40032,0.59928
518,lstm,300,1300,0.0,0.90394,0.09606,0.0,0.90394,0.09606
519,lstm,300,1400,0.0,0.95842,0.04158,0.0,0.95842,0.04158
520,lstm,300,1500,4e-05,0.33306,0.6669,4e-05,0.33306,0.6669
521,lstm,300,1600,0.0,0.63208,0.36792,0.0,0.63208,0.36792
522,lstm,400,500,0.00906,0.99092,2e-05,0.00906,0.99092,2e-05
523,lstm,400,600,0.04254,0.95746,0.0,0.04254,0.95746,0.0
524,lstm,400,700,6e-05,0.9969,0.00304,6e-05,0.9969,0.00304
525,lstm,400,800,0.0,0.98948,0.01052,0.0,0.98948,0.01052
526,lstm,400,900,0.0734,0.91962,0.00698,0.0734,0.91962,0.00698
527,lstm,400,1000,6e-05,0.98632,0.01362,6e-05,0.98632,0.01362
528,lstm,400,1100,0.01164,0.98836,0.0,0.01164,0.98836,0.0
529,lstm,400,1200,0.0096,0.98432,0.00608,0.0096,0.98432,0.00608
530,lstm,400,1300,0.15316,0.8452,0.00164,0.15316,0.8452,0.00164
531,lstm,400,1400,0.0599,0.9401,0.0,0.0599,0.9401,0.0
532,lstm,400,1500,0.00112,0.98318,0.0157,0.00112,0.98318,0.0157
533,lstm,400,1600,0.0264,0.94404,0.02956,0.0264,0.94404,0.02956
534,lstm,500,600,0.00536,0.99438,0.00026,0.00536,0.99438,0.00026
535,lstm,500,700,0.0,0.98618,0.01382,0.0,0.98618,0.01382
536,lstm,500,800,0.0,0.94638,0.05362,0.0,0.94638,0.05362
537,lstm,500,900,0.00028,0.99666,0.00306,0.00028,0.99666,0.00306
538,lstm,500,1000,0.0033,0.83162,0.16508,0.0033,0.83162,0.16508
539,lstm,500,1100,0.00166,0.99834,0.0,0.00166,0.99834,0.0
540,lstm,500,1200,2e-05,0.98614,0.01384,2e-05,0.98614,0.01384
541,lstm,500,1300,0.0193,0.97844,0.00226,0.0193,0.97844,0.00226
542,lstm,500,1400,0.02008,0.97938,0.00054,0.02008,0.97938,0.00054
543,lstm,500,1500,0.0004,0.95236,0.04724,0.0004,0.95236,0.04724
544,lstm,500,1600,0.00816,0.91904,0.0728,0.00816,0.91904,0.0728
545,lstm,600,700,0.0,0.9334,0.0666,0.0,0.9334,0.0666
546,lstm,600,800,0.0001,0.6897,0.3102,0.0001,0.6897,0.3102
547,lstm,600,900,0.00044,0.9684,0.03116,0.00044,0.9684,0.03116
548,lstm,600,1000,0.0003,0.82514,0.17456,0.0003,0.82514,0.17456
549,lstm,600,1100,0.00022,0.9997,8e-05,0.00022,0.9997,8e-05
550,lstm,600,1200,0.0,0.96156,0.03844,0.0,0.96156,0.03844
551,lstm,600,1300,0.01942,0.96512,0.01546,0.01942,0.96512,0.01546
552,lstm,600,1400,0.0,1.0,0.0,0.0,1.0,0.0
553,lstm,600,1500,0.00166,0.83118,0.16716,0.00166,0.83118,0.16716
554,lstm,600,1600,0.0,0.99158,0.00842,0.0,0.99158,0.00842
555,lstm,700,800,0.0,1.0,0.0,0.0,1.0,0.0
556,lstm,700,900,0.05728,0.94238,0.00034,0.05728,0.94238,0.00034
557,lstm,700,1000,0.00856,0.97286,0.01858,0.00856,0.97286,0.01858
558,lstm,700,1100,0.1292,0.8708,0.0,0.1292,0.8708,0.0
559,lstm,700,1200,0.02,0.97948,0.00052,0.02,0.97948,0.00052
560,lstm,700,1300,0.20624,0.7937,6e-05,0.20624,0.7937,6e-05
561,lstm,700,1400,0.14936,0.85062,2e-05,0.14936,0.85062,2e-05
562,lstm,700,1500,6e-05,0.99978,0.00016,6e-05,0.99978,0.00016
563,lstm,700,1600,0.01042,0.98944,0.00014,0.01042,0.98944,0.00014
564,lstm,800,900,0.06424,0.9355,0.00026,0.06424,0.9355,0.00026
565,lstm,800,1000,0.00384,0.99602,0.00014,0.00384,0.99602,0.00014
566,lstm,800,1100,0.09292,0.90708,0.0,0.09292,0.90708,0.0
567,lstm,800,1200,0.02914,0.97056,0.0003,0.02914,0.97056,0.0003
568,lstm,800,1300,0.22694,0.77306,0.0,0.22694,0.77306,0.0
569,lstm,800,1400,0.27742,0.72246,0.00012,0.27742,0.72246,0.00012
570,lstm,800,1500,0.0016,0.9984,0.0,0.0016,0.9984,0.0
571,lstm,800,1600,0.08336,0.916,0.00064,0.08336,0.916,0.00064
572,lstm,900,1000,0.00026,0.97012,0.02962,0.00026,0.97012,0.02962
573,lstm,900,1100,0.02902,0.97076,0.00022,0.02902,0.97076,0.00022
574,lstm,900,1200,0.0,1.0,0.0,0.0,1.0,0.0
575,lstm,900,1300,0.1347,0.85846,0.00684,0.1347,0.85846,0.00684
576,lstm,900,1400,0.06686,0.93118,0.00196,0.06686,0.93118,0.00196
577,lstm,900,1500,0.00846,0.87454,0.117,0.00846,0.87454,0.117
578,lstm,900,1600,0.04574,0.91616,0.0381,0.04574,0.91616,0.0381
579,lstm,1000,1100,0.11502,0.88498,0.0,0.11502,0.88498,0.0
580,lstm,1000,1200,0.03802,0.95864,0.00334,0.03802,0.95864,0.00334
581,lstm,1000,1300,0.21732,0.78244,0.00024,0.21732,0.78244,0.00024
582,lstm,1000,1400,0.19494,0.80498,8e-05,0.19494,0.80498,8e-05
