index,model_name,model_A,model_B,P({a} > {b}),P({a} == {b}),P({b} > {a}),left,within,right
211,lstm,25,35,0.00222,0.99778,0.0,0.00222,0.99778,0.0
212,lstm,25,40,0.25384,0.74616,0.0,0.25384,0.74616,0.0
213,lstm,25,45,0.81608,0.18392,0.0,0.81608,0.18392,0.0
214,lstm,25,50,0.85232,0.14768,0.0,0.85232,0.14768,0.0
215,lstm,30,35,0.0,1.0,0.0,0.0,1.0,0.0
216,lstm,30,40,0.01176,0.98824,0.0,0.01176,0.98824,0.0
217,lstm,30,45,0.17574,0.82426,0.0,0.17574,0.82426,0.0
218,lstm,30,50,0.34272,0.65728,0.0,0.34272,0.65728,0.0
219,lstm,35,40,0.0109,0.98908,2e-05,0.0109,0.98908,2e-05
220,lstm,35,45,0.0531,0.9469,0.0,0.0531,0.9469,0.0
221,lstm,35,50,0.09106,0.90894,0.0,0.09106,0.90894,0.0
222,lstm,40,45,0.00034,0.99966,0.0,0.00034,0.99966,0.0
223,lstm,40,50,0.00034,0.99966,0.0,0.00034,0.99966,0.0
224,lstm,45,50,6e-05,0.99994,0.0,6e-05,0.99994,0.0
225,gru,5,10,0.0,0.03842,0.96158,0.0,0.03842,0.96158
226,gru,5,15,0.0,0.00086,0.99914,0.0,0.00086,0.99914
227,gru,5,20,0.0,0.00278,0.99722,0.0,0.00278,0.99722
228,gru,5,25,0.0,0.0008,0.9992,0.0,0.0008,0.9992
229,gru,5,30,0.0,0.00016,0.99984,0.0,0.00016,0.99984
230,gru,5,35,0.0,0.00534,0.99466,0.0,0.00534,0.99466
231,gru,5,40,0.0,0.00086,0.99914,0.0,0.00086,0.99914
232,gru,5,45,0.0,0.10808,0.89192,0.0,0.10808,0.89192
233,gru,5,50,0.0,0.01052,0.98948,0.0,0.01052,0.98948
234,gru,10,15,2e-05,0.91756,0.08242,2e-05,0.91756,0.08242
235,gru,10,20,0.0,0.99646,0.00354,0.0,0.99646,0.00354
236,gru,10,25,0.0,0.97726,0.02274,0.0,0.97726,0.02274
237,gru,10,30,0.0,0.90214,0.09786,0.0,0.90214,0.09786
238,gru,10,35,0.0,0.99986,0.00014,0.0,0.99986,0.00014
239,gru,10,40,0.0,0.99586,0.00414,0.0,0.99586,0.00414
240,gru,10,45,0.01002,0.98998,0.0,0.01002,0.98998,0.0
241,gru,10,50,0.0,0.99164,0.00836,0.0,0.99164,0.00836
242,gru,15,20,0.00024,0.99976,0.0,0.00024,0.99976,0.0
243,gru,15,25,0.00174,0.99826,0.0,0.00174,0.99826,0.0
244,gru,15,30,0.0,0.99996,4e-05,0.0,0.99996,4e-05
245,gru,15,35,0.00096,0.99904,0.0,0.00096,0.99904,0.0
246,gru,15,40,0.00024,0.99976,0.0,0.00024,0.99976,0.0
247,gru,15,45,0.06394,0.93606,0.0,0.06394,0.93606,0.0
248,gru,15,50,0.00576,0.994,0.00024,0.00576,0.994,0.00024
249,gru,20,25,0.0,1.0,0.0,0.0,1.0,0.0
250,gru,20,30,0.0,0.99884,0.00116,0.0,0.99884,0.00116
251,gru,20,35,0.0,1.0,0.0,0.0,1.0,0.0
252,gru,20,40,0.0,1.0,0.0,0.0,1.0,0.0
253,gru,20,45,0.00088,0.99912,0.0,0.00088,0.99912,0.0
254,gru,20,50,0.0,0.99814,0.00186,0.0,0.99814,0.00186
255,gru,25,30,0.0,0.99912,0.00088,0.0,0.99912,0.00088
256,gru,25,35,0.00026,0.99972,2e-05,0.00026,0.99972,2e-05
257,gru,25,40,0.0,1.0,0.0,0.0,1.0,0.0
258,gru,25,45,0.07596,0.92404,0.0,0.07596,0.92404,0.0
259,gru,25,50,0.0148,0.9847,0.0005,0.0148,0.9847,0.0005
260,gru,30,35,0.00304,0.99696,0.0,0.00304,0.99696,0.0
261,gru,30,40,0.0,1.0,0.0,0.0,1.0,0.0
262,gru,30,45,0.0775,0.9225,0.0,0.0775,0.9225,0.0
263,gru,30,50,0.01732,0.98268,0.0,0.01732,0.98268,0.0
264,gru,35,40,0.0,1.0,0.0,0.0,1.0,0.0
265,gru,35,45,0.0099,0.9901,0.0,0.0099,0.9901,0.0
266,gru,35,50,0.00026,0.99686,0.00288,0.00026,0.99686,0.00288
267,gru,40,45,0.0507,0.9493,0.0,0.0507,0.9493,0.0
268,gru,40,50,0.00942,0.98944,0.00114,0.00942,0.98944,0.00114
269,gru,45,50,0.0,0.99282,0.00718,0.0,0.99282,0.00718
