index,model_name,max_seq_length,vocab_size,use_punct,embedding_dim,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,train_loss_std,train_acc_std,val_loss_std,val_acc_std,test_loss_std,test_acc_std,precision_micro_std,recall_micro_std,f1_micro_std,precision_macro_std,recall_macro_std,f1_macro_std,precision_weighted_std,recall_weighted_std,f1_weighted_std
20,dcnn,45,1700,True,50,1.17719653,59.15109980000001,1.2816687000000002,55.9015268,1.1705261200000001,59.076867099999994,0.5914916727009413,0.5914916727009413,0.5914916727009413,0.5684571271955523,0.5157698639670725,0.5684571271955523,0.5932098293668944,0.5914916727009413,0.5668431532648283,0.0032070374099782734,0.16293358276631334,0.009006902815187024,0.28062382815980924,0.02341728534057225,0.6026892689241465,0.0057653065790877495,0.0057653065790877495,0.0057653065790877495,0.017886373783066803,0.011785178319546478,0.017886373783066803,0.00648586006466685,0.0057653065790877495,0.008062066311072825
21,dcnn,40,1700,True,50,1.17671024,59.10316140000001,1.27796254,56.0815185,1.1657939699999997,58.9396535,0.5897900072411296,0.5897900072411296,0.5897900072411296,0.5687720343953423,0.5205272618779053,0.5687720343953423,0.5979372243271481,0.5897900072411296,0.5710061186915847,0.004050178286665682,0.17560704628307808,0.010132308570135636,0.2823491892593088,0.0170979414119588,0.5616552270263829,0.005559397927241616,0.005559397927241616,0.005559397927241616,0.011237688855915995,0.005447504937073164,0.011237688855915995,0.008656734677373474,0.005559397927241616,0.005878240573269709
22,dcnn,35,1700,True,50,1.17584085,59.19679990000001,1.2792630800000002,56.031122700000004,1.1656313800000002,58.8584752,0.5888124547429399,0.5888124547429399,0.5888124547429399,0.5703444118978221,0.5136211377959266,0.5703444118978221,0.5955925228427542,0.5888124547429399,0.5680969211296449,0.008877713150762499,0.3312100380793768,0.008978069053074713,0.3417484268057929,0.012549206021170328,0.46393492110826756,0.004538320179193096,0.004538320179193096,0.004538320179193096,0.01658662214963253,0.007020653949763467,0.01658662214963253,0.008015417719504536,0.004538320179193096,0.003167173744059786
23,dcnn,30,1700,True,50,1.17853575,59.11844439999999,1.2870526800000002,55.69984910000001,1.17781325,58.765085899999995,0.5878711078928313,0.5878711078928313,0.5878711078928313,0.5640006624792356,0.5194137520872448,0.5640006624792356,0.5931090023590986,0.5878711078928313,0.5675951266522767,0.00609080292923493,0.19760049927523649,0.009449609277260539,0.3135239676630968,0.01585204848734062,0.7116581031658784,0.007026860398556435,0.007026860398556435,0.007026860398556435,0.018897037897702793,0.006444743862545764,0.018897037897702793,0.009678637251398312,0.007026860398556435,0.005390734664465074
24,dcnn,25,1700,True,50,1.1723815800000001,59.3452549,1.2781022500000003,56.14123309999999,1.1664609400000001,59.0919532,0.5911658218682114,0.5911658218682114,0.5911658218682114,0.5665083578766312,0.5188236281419851,0.5665083578766312,0.5936643687314499,0.5911658218682114,0.5702398985856034,0.003790349155948567,0.15915589305210015,0.007344507770095957,0.2432628832662073,0.016387970205217994,0.439885941530001,0.0045407265422420075,0.0045407265422420075,0.0045407265422420075,0.013959902275021625,0.006706781842606566,0.013959902275021625,0.00787464078788043,0.0045407265422420075,0.004400274187880547
25,dcnn,50,1700,True,50,1.17622251,59.107935700000006,1.28310157,55.92246829999999,1.1712099900000001,58.809625600000004,0.5885590152063721,0.5885590152063721,0.5885590152063721,0.5626322155962244,0.5196287340802874,0.5626322155962244,0.5932649105539866,0.5885590152063721,0.5680098934696416,0.0050844165533193465,0.17178288290426427,0.006746942180812228,0.277054686054358,0.018212788918074447,0.7831533171510607,0.007801176026087581,0.007801176026087581,0.007801176026087581,0.01563078042993623,0.009461201299101742,0.01563078042993623,0.009623535590999124,0.007801176026087581,0.00924137204803807
26,dcnn,15,1700,True,50,1.17398434,59.332556,1.2835324199999998,55.925820599999994,1.17739464,58.75790220000001,0.5881969587255613,0.5881969587255613,0.5881969587255613,0.5668535956240541,0.514440384582661,0.5668535956240541,0.5916906396384024,0.5881969587255613,0.5680855797224582,0.0049324098960515025,0.21715045040657294,0.00699866870321293,0.22155525220745906,0.01969302992754314,0.46695473333356835,0.004668516744258599,0.004668516744258599,0.004668516744258599,0.018588252358973382,0.010384832381327376,0.018588252358973382,0.010407584442872177,0.004668516744258599,0.007986236634365837
27,dcnn,10,1700,True,50,1.1869885999999998,58.962527399999985,1.28965087,55.85284220000001,1.1738085900000002,58.64798830000001,0.5869297610427228,0.5869297610427228,0.5869297610427228,0.5652333669203772,0.5177758923941898,0.5652333669203772,0.5935884003873328,0.5869297610427228,0.5678868872204249,0.006138621237523728,0.25646450768140633,0.007384007230953727,0.24353233572284497,0.011051193535385874,0.27495137310847123,0.002641055268003766,0.002641055268003766,0.002641055268003766,0.017306300938474056,0.005734607447319794,0.017306300938474056,0.009559715688368022,0.002641055268003766,0.003598150106134395
28,dcnn,5,1700,True,50,1.2491033799999998,57.1384372,1.31282026,55.2566288,1.20207168,57.8656604,0.5789645184648806,0.5789645184648806,0.5789645184648806,0.5367509354877038,0.5023286739475378,0.5367509354877038,0.5704247752947621,0.5789645184648806,0.553672918795159,0.011981730792502487,0.41072273976297013,0.011224450768567687,0.5286844277333442,0.006861315144716197,0.5302869522278992,0.005555335619877784,0.005555335619877784,0.005555335619877784,0.011869411922198658,0.011271697820911388,0.011869411922198658,0.011087791767820956,0.005555335619877784,0.007175818993140814
29,dcnn,20,1700,True,50,1.17316726,59.3246296,1.28119082,55.9843261,1.1557128799999998,59.277298300000005,0.5931933381607531,0.5931933381607531,0.5931933381607531,0.570878252582093,0.52401011336076,0.570878252582093,0.5963059349185478,0.5931933381607531,0.5732592195194914,0.003985370459345342,0.188268170577796,0.005778823823005265,0.22844046956674807,0.012887823919395264,0.44229137031826843,0.004385386030778037,0.004385386030778037,0.004385386030778037,0.016643717080760113,0.006939528520069127,0.016643717080760113,0.009067918358372319,0.004385386030778037,0.0048529841141678395
